machineId,R2_CV,RMSE_CV,MAPE_CV,n_samples,res_mean,res_std,n_anom_flagged,pct_anom_flagged,model_path
1659,0.4152113732582321,31.495425635760363,73.59351248221603,9252,0.00011074566679622713,30.600802492583743,1,0.010654165778819518,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_1659_response_model.pkl
2739,0.37079483188785806,31.65148507225635,73.48121512228076,9373,0.016078780908482568,30.723019164714476,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2739_response_model.pkl
1661,0.35907342109107593,31.706207339590044,72.12703869965856,9159,-0.045800138387500265,30.557574709526005,2,0.021308331557639035,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_1661_response_model.pkl
2757,0.3508418974813122,31.976788811765847,73.63855148608991,9368,0.03130037521145804,30.822208734891156,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2757_response_model.pkl
2752,0.3333393426318498,32.152154522398995,74.62572747844034,9379,-0.00045011279037832704,30.953755986951172,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2752_response_model.pkl
2751,0.30306146713074034,31.8178982481373,73.40919074447382,9385,0.009767671016484084,30.872078764511638,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2751_response_model.pkl
2740,0.2911810440098965,31.642842476345272,72.39591972352332,9372,-0.03166261730046069,30.627765021114048,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2740_response_model.pkl
2760,0.2662939999326115,31.824805336544735,73.49292282608434,9351,-0.01568538879934739,30.674071123518655,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2760_response_model.pkl
2759,0.20538348624448516,31.697111019127725,73.49204594737446,9380,-0.008162209026853494,30.39775582967315,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2759_response_model.pkl
2744,0.16439981792608863,31.7739196688334,74.24103256865428,9363,0.015446684568269295,30.639249608735316,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2744_response_model.pkl
2746,0.1386313688254887,31.82160700221097,74.5835433060469,9377,0.026864080887043538,30.922617168047918,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2746_response_model.pkl
2753,0.08301365676398302,31.90288394023333,74.57501207055464,9365,-0.007187196627047598,30.96358345465704,1,0.010653030787258976,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2753_response_model.pkl
2825,0.07246373169905111,228.39798329917775,82.14261155897631,9377,-0.06365846317330037,219.70728067609764,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2825_response_model.pkl
2745,0.0501989199555809,31.811743072104814,73.83423954741872,9378,-0.04362273260829727,30.748086936478582,1,0.010653030787258976,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2745_response_model.pkl
2756,0.03598347127223818,32.16556267893393,75.26933076103658,9323,0.03145093869982701,31.047000877681707,1,0.010653030787258976,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2756_response_model.pkl
2737,-0.005688244699119327,31.917351212657167,74.66912919134218,9360,-0.009583621474100872,30.338962801833414,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2737_response_model.pkl
2836,-0.006032616629918408,329.5604034943791,142.59261731314112,6388,0.5649080208849185,315.42574287489913,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2836_response_model.pkl
2755,-0.00646349699115345,32.06857735896219,75.63325139335211,9368,-0.060646898665635086,30.767036579523353,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2755_response_model.pkl
2747,-0.008556966835163183,31.95962069799723,74.83136828714542,9231,-0.026756443902662387,30.918565758711818,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2747_response_model.pkl
2742,-0.008723796506363657,32.15582172344195,76.21083557043889,9364,-0.0006254098677348718,31.06116001300654,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2742_response_model.pkl
2748,-0.009112655967847072,32.07669237588923,75.22697513060923,9379,0.01725139171850322,30.700943303798148,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2748_response_model.pkl
2750,-0.00933131196905057,31.739443880943906,74.47701334874637,9366,0.032141978017641626,30.2725794899178,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2750_response_model.pkl
2835,-0.010224005598134989,337.25918857533884,146.99109904894345,6388,0.1742800569536496,318.78713479630125,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2835_response_model.pkl
2805,-0.06374628522538658,162.2040401837027,57.30002685600067,9304,-0.0687493137282363,118.49579713765989,104,1.0789500985579417,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2805_response_model.pkl
